Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
IOST-USD,IOST USD,0.00924,-0.00084,-8.33%,172.873M,14.096M,14.096M,14.096M,18.709B
ELF-USD,aelf USD,0.276427,-0.01809,-6.14%,169.185M,12.111M,12.111M,12.111M,612.042M
ASTRAFER-USD,Astrafer USD,1.0786,-0.1422,-11.64%,168.71M,"117,988","117,988","117,988",156.417M
POLY-USD,POLY Maximus USD,0.18215,-0.008724,-4.57%,168.488M,1.273M,1.273M,1.273M,924.998M
XYM-USD,Symbol USD,0.029543,-0.000278,-0.93%,164.921M,1.172M,1.172M,1.172M,5.582B
CHSB-USD,SwissBorg USD,0.163735,0.001983,1.23%,163.735M,"415,858","415,858","415,858",1B
BORA-USD,BORA USD,0.161764,-0.008704,-5.11%,160.753M,2.351M,2.351M,2.351M,993.75M
BICO-USD,Biconomy USD,0.297611,-0.030636,-9.33%,159.095M,4.231M,4.231M,4.231M,534.574M
TRIBE-USD,Tribe USD,0.300829,-0.000193,-0.06%,155.1M,"792,775","792,775","792,775",515.575M
AVINOC-USD,AVINOC USD,0.395178,0.048484,13.98%,153.821M,"107,347","107,347","107,347",389.244M
RSR-USD,Reserve Rights USD,0.003029,-0.000433,-12.50%,153.245M,6.282M,6.282M,6.282M,50.6B
RIF-USD,RSK Infrastructure Framework USD,0.158993,0.013168,9.03%,152.639M,57.181M,57.181M,57.181M,960.04M
GNS-USD,Gains Network USD,4.9877,-0.4597,-8.44%,151.893M,13.535M,13.535M,13.535M,30.454M
USTC-USD,TerraClassicUSD USD,0.015446,-0.002235,-12.64%,151.336M,13.465M,13.465M,13.465M,9.798B
FLUX-USD,Flux USD,0.508,-0.03791,-6.94%,150.343M,13.014M,13.014M,13.014M,295.95M
SFP-USD,SafePal USD,0.400339,-0.032068,-7.42%,147.992M,6.766M,6.766M,6.766M,369.667M
ACH-USD,Alchemy Pay USD,0.023588,-0.003294,-12.25%,145.873M,28.979M,28.979M,28.979M,6.184B
ID21846-USD,SPACE ID USD,0.471934,-0.066469,-12.35%,143.697M,132.76M,132.76M,132.76M,304.486M
SKL-USD,SKALE USD,0.031495,-0.002983,-8.65%,142.021M,7.625M,7.625M,7.625M,4.509B
RAD-USD,Radicle USD,2.8071,0.0053,0.19%,139.875M,130.348M,130.348M,130.348M,49.829M
EDU24613-USD,Open Campus USD,0.977116,-0.084302,-7.94%,141.797M,49.297M,49.297M,49.297M,145.117M
BNX23635-USD,BinaryX USD,0.486626,-0.072111,-12.91%,140.693M,15.204M,15.204M,15.204M,289.119M
RLC-USD,iExec RLC USD,1.7316,-0.0472,-2.65%,140.26M,22.566M,22.566M,22.566M,81M
MOB-USD,MobileCoin USD,0.71305,-0.11581,-13.97%,139.249M,2.046M,2.046M,2.046M,195.286M
AXL17799-USD,Axelar USD,0.552502,-0.030361,-5.21%,138.872M,3.962M,3.962M,3.962M,251.352M
KEEP-USD,Keep Network USD,0.146514,-0.006889,-4.49%,138.586M,"299,330","299,330","299,330",945.886M
ABBC-USD,ABBC Coin USD,0.100585,-0.00171,-1.67%,137.018M,20.951M,20.951M,20.951M,1.362B
EURS-USD,STASIS EURO USD,1.0967,0.0007,0.07%,136.127M,13.149M,13.149M,13.149M,124.126M
TOMI23246-USD,tomiNet USD,3.4219,0.0981,2.95%,135.654M,16.332M,16.332M,16.332M,39.642M
CTSI-USD,Cartesi USD,0.179143,-0.015353,-7.89%,131.167M,26.621M,26.621M,26.621M,732.192M
SURE-USD,inSure DeFi USD,0.00488,-0.000237,-4.63%,130.733M,2.986M,2.986M,2.986M,26.79B
CELR-USD,Celer Network USD,0.018351,-0.002543,-12.17%,130.025M,15.804M,15.804M,15.804M,7.085B
LPT-USD,Livepeer USD,4.6358,-0.5261,-10.19%,129.043M,6.518M,6.518M,6.518M,27.836M
DGB-USD,DigiByte USD,0.007939,-0.000807,-9.23%,128.713M,3.929M,3.929M,3.929M,16.212B
AMP-USD,Amp USD,0.003021,-0.000286,-8.65%,127.56M,7.46M,7.46M,7.46M,42.228B
BRISE-USD,Bitgert USD,0.00000032,-0.00000003,-9.56%,126.943M,4.789M,4.789M,4.789M,395.688T
ILV-USD,Illuvium USD,46.4,-2.2,-4.53%,125.733M,6.867M,6.867M,6.867M,2.71M
STORJ-USD,Storj USD,0.301193,-0.035295,-10.49%,124.374M,9.154M,9.154M,9.154M,412.937M
CKB-USD,Nervos Network USD,0.003059,-0.000466,-13.22%,124.367M,13.103M,13.103M,13.103M,40.651B
ELON-USD,Dogelon Mars USD,0.00000023,-0.00000001,-4.90%,124.508M,2.711M,2.711M,2.711M,549.653T
TEL-USD,Telcoin USD,0.001817,-0.000104,-5.40%,121.7M,"863,658","863,658","863,658",66.991B
MULTI17050-USD,Multichain USD,8.3419,-0.5375,-6.05%,121.3M,2.332M,2.332M,2.332M,14.541M
OMG-USD,OMEGA FINANCE USD,0.859642,-0.140018,-14.01%,120.561M,31.263M,31.263M,31.263M,140.245M
LQTY-USD,Liquity USD,1.2825,-0.1846,-12.58%,117.873M,22.42M,22.42M,22.42M,91.907M
STG18934-USD,Stargate Finance USD,0.638264,-0.080768,-11.23%,118.301M,20.508M,20.508M,20.508M,185.349M
VVS-USD,VVS Finance USD,0.00000334,-0.00000013,-3.66%,116.114M,"544,888","544,888","544,888",34.804T
METIS-USD,MetisDAO USD,26.09,-2.33,-8.19%,116.132M,5.526M,5.526M,5.526M,4.45M
TRAC-USD,OriginTrail USD,0.287863,-0.026028,-8.29%,113.303M,2.788M,2.788M,2.788M,393.6M
BTRST-USD,Braintrust USD,0.792842,-0.011354,-1.41%,112.197M,"210,268","210,268","210,268",141.512M
LSK-USD,Lisk USD,0.867272,-0.064114,-6.88%,111.792M,2.477M,2.477M,2.477M,128.9M
